TAG;FECHA;HORA;HUM %
1;10/05/2021;23:43:53;52.25
1;10/05/2021;23:43:54;51.95
1;10/05/2021;23:43:55;51.50
1;10/05/2021;23:43:56;51.12
1;10/05/2021;23:43:57;51.04
1;10/05/2021;23:43:58;50.50
1;10/05/2021;23:43:59;51.02
1;10/05/2021;23:44:00;50.42
1;10/05/2021;23:44:01;50.01
1;10/05/2021;23:44:02;49.71
1;10/05/2021;23:44:03;50.05
1;10/05/2021;23:44:04;49.29
1;10/05/2021;23:44:05;49.09
1;10/05/2021;23:44:06;48.77
1;10/05/2021;23:44:07;48.33
1;10/05/2021;23:44:08;48.34
1;10/05/2021;23:44:09;47.98
1;10/05/2021;23:44:10;48.08
1;10/05/2021;23:44:11;48.08
1;10/05/2021;23:44:12;48.00
1;10/05/2021;23:44:13;47.16
1;10/05/2021;23:44:14;47.69
1;10/05/2021;23:44:15;47.87
1;10/05/2021;23:44:16;47.82
1;10/05/2021;23:44:17;48.02
1;10/05/2021;23:44:18;47.71
1;10/05/2021;23:44:19;47.65
1;10/05/2021;23:44:20;47.80
1;10/05/2021;23:44:21;47.75
1;10/05/2021;23:44:22;47.51
1;10/05/2021;23:44:23;47.45
1;10/05/2021;23:44:24;47.14
1;10/05/2021;23:44:25;47.52
1;10/05/2021;23:44:26;47.24
1;10/05/2021;23:44:27;46.79
1;10/05/2021;23:44:28;46.84
1;10/05/2021;23:44:29;47.57
1;10/05/2021;23:44:30;47.64
1;10/05/2021;23:44:31;47.26
1;10/05/2021;23:44:32;48.15
1;10/05/2021;23:44:33;48.12
1;10/05/2021;23:44:34;48.05
1;10/05/2021;23:44:35;47.39
1;10/05/2021;23:44:36;47.93
1;10/05/2021;23:44:37;47.83
1;10/05/2021;23:44:38;47.81
1;10/05/2021;23:44:39;47.47
1;10/05/2021;23:44:40;47.82
1;10/05/2021;23:44:41;47.86
1;10/05/2021;23:44:42;48.74
1;10/05/2021;23:44:43;49.20
1;10/05/2021;23:44:44;48.88
1;10/05/2021;23:44:45;49.31
1;10/05/2021;23:44:46;49.56
1;10/05/2021;23:44:47;49.43
1;10/05/2021;23:44:48;48.98
1;10/05/2021;23:44:49;48.75
1;10/05/2021;23:44:50;48.80
1;10/05/2021;23:44:51;48.51
1;10/05/2021;23:44:52;48.45
1;10/05/2021;23:44:53;47.94
