name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,
1,21/07/2021,01:56:52,32.6312248,-115.5019281,47,5,100,26,69,
3,08/04/2021,01:56:52,32.6261335,-115.5073826,28,24,104,26,42,
2,06/08/2021,01:56:52,32.6242441,-115.5009456,39,7,105,28,65,
1,11/09/2021,01:56:52,32.6241043,-115.503167,55,10,103,43,73,
1,20/01/2021,01:56:52,32.6192191,-115.502313,11,54,104,176,193,
3,23/11/2021,01:56:52,32.6258857,-115.5055866,20,27,105,28,210,
3,20/11/2021,01:56:52,32.6369398,-115.4999508,14,24,100,70,99,
3,01/05/2021,01:56:52,32.6214513,-115.5085134,29,26,104,11,72,
2,31/03/2021,01:56:52,32.6378615,-115.5027572,30,20,101,52,125,
2,15/06/2021,01:56:53,32.6212280,-115.5098479,38,7,105,36,70,
2,26/03/2021,01:56:54,32.6177906,-115.5045732,28,27,103,31,48,
1,17/06/2021,01:56:55,32.6210019,-115.5080632,38,7,100,27,50,
1,10/02/2021,01:56:56,32.6354400,-115.499233,7,41,103,121,136,
2,01/11/2021,01:56:57,32.6213033,-115.4995365,17,27,105,103,150,
3,18/02/2021,01:56:58,32.6170986,-115.5080943,11,48,102,176,173,
3,26/07/2021,01:56:59,32.6216699,-115.5087088,53,6,103,51,72,
3,14/03/2021,01:57:00,32.6351325,-115.5035514,32,27,102,76,136,
2,01/05/2021,01:57:01,32.6327044,-115.5006891,26,29,103,66,62,
2,17/07/2021,01:57:02,32.6220937,-115.5045176,38,6,101,35,57,
3,25/10/2021,01:57:03,32.6269100,-115.508357,14,21,104,77,170,
1,11/11/2021,01:57:04,32.6254063,-115.5084787,13,27,105,45,133,
3,05/11/2021,01:57:05,32.6272935,-115.5049687,12,27,103,25,135,
2,08/04/2021,01:57:06,32.6178007,-115.505686,29,27,104,39,155,
2,22/02/2021,01:57:07,32.6334497,-115.5071984,11,46,105,141,120,
1,30/12/2021,01:57:08,32.6225634,-115.4996331,19,28,105,29,150,
3,24/07/2021,01:57:09,32.6355807,-115.5069702,44,10,103,42,66,
3,22/05/2021,02:57:09,32.6272221,-115.5102073,29,26,103,75,147,
1,17/12/2021,03:57:09,32.6285276,-115.5079011,13,23,104,114,157,
3,02/08/2021,04:57:09,32.6308166,-115.5082997,48,9,101,27,43,
2,12/04/2021,05:57:09,32.6201978,-115.5078142,29,27,101,62,82,
3,16/04/2021,06:57:09,32.6354248,-115.4994448,32,27,105,72,84,
2,23/11/2021,07:57:09,32.6292071,-115.5020766,14,20,103,94,121,
3,08/10/2021,08:57:09,32.6374888,-115.5013827,16,26,100,21,172,
3,11/09/2021,09:57:09,32.6329071,-115.5092876,44,10,103,52,45,
3,14/07/2021,10:57:09,32.6279822,-115.4992303,44,7,105,52,42,
3,21/03/2021,11:57:09,32.6377214,-115.5041894,29,25,103,16,111,
2,29/06/2021,12:57:09,32.6181205,-115.5093245,36,6,100,35,66,
1,29/12/2021,13:57:09,32.6218133,-115.4991053,18,27,104,73,127,
3,07/12/2021,14:57:09,32.6197945,-115.4988588,18,27,101,46,135,
1,19/12/2021,15:57:09,32.6227157,-115.500768,12,25,105,71,90,
2,10/09/2021,16:57:09,32.6182365,-115.5074119,52,10,101,38,74,
3,13/12/2021,17:57:09,32.6196592,-115.5017954,16,23,100,44,92,
2,01/05/2021,18:57:09,32.6294378,-115.5016936,31,30,101,83,114,
3,12/06/2021,19:57:09,32.6347542,-115.5094559,51,7,101,46,68,
3,26/07/2021,20:57:09,32.6265174,-115.5094899,42,8,101,50,49,
3,11/09/2021,21:57:09,32.6372643,-115.5040293,53,6,101,37,74,
1,28/02/2021,22:57:09,32.6353446,-115.5043406,6,63,101,28,183,
2,01/03/2021,23:57:09,32.6339258,-115.5072325,25,21,101,89,59,
1,03/08/2021,00:57:09,32.6296692,-115.5054237,44,10,105,45,74,
3,03/02/2021,01:57:09,32.6245549,-115.5097614,1,70,104,163,222,
2,28/09/2021,02:57:09,32.6238330,-115.5079188,37,7,105,44,72,
2,29/10/2021,03:57:09,32.6310311,-115.5062489,20,26,104,33,191,
2,13/03/2021,04:57:09,32.6270478,-115.5075073,32,25,105,23,143,
1,10/04/2021,05:57:09,32.6195188,-115.5075894,27,28,103,10,90,
2,26/10/2021,06:57:09,32.6344650,-115.5029595,13,25,101,49,151,
2,25/12/2021,07:57:09,32.6318288,-115.4989233,13,28,102,79,101,
3,31/05/2021,08:57:09,32.6178370,-115.5038159,28,25,101,67,128,
