TAG;FECHA;HORA;LAT;LONG;TEMP C;HUM %;PRES kPa;ALT M;PM 10
1;11/05/2021;15:47:00;N/A;N/A;30.50;41.44;100.66;55.28;0.00
1;11/05/2021;15:47:01;N/A;N/A;30.50;41.41;100.67;55.52;27.15
1;11/05/2021;15:47:02;N/A;N/A;30.50;41.41;100.66;55.52;25.78
1;11/05/2021;15:47:03;N/A;N/A;30.49;41.38;100.66;55.59;23.05
1;11/05/2021;15:47:04;N/A;N/A;30.50;41.37;100.66;55.04;25.78
1;11/05/2021;15:47:05;N/A;N/A;30.50;41.53;100.66;55.28;20.90
1;11/05/2021;15:47:06;N/A;N/A;30.49;41.40;100.66;55.35;25.39
1;11/05/2021;15:47:07;N/A;N/A;30.50;41.29;100.65;55.76;27.54
1;11/05/2021;15:47:08;N/A;N/A;30.51;41.27;100.67;55.45;23.24
1;11/05/2021;15:47:09;N/A;N/A;30.51;41.29;100.67;55.39;16.99
1;11/05/2021;15:47:10;N/A;N/A;30.51;41.29;100.66;54.74;25.78
1;11/05/2021;15:47:11;N/A;N/A;30.51;41.28;100.66;55.87;25.20
1;11/05/2021;15:47:12;N/A;N/A;30.51;41.29;100.67;55.39;26.95
1;11/05/2021;15:47:13;N/A;N/A;30.51;41.27;100.66;54.91;32.03
1;11/05/2021;15:47:14;N/A;N/A;30.52;41.28;100.67;55.26;18.75
1;11/05/2021;15:47:15;N/A;N/A;30.51;41.27;100.66;54.98;28.32
1;11/05/2021;15:47:16;N/A;N/A;30.50;41.25;100.65;56.00;34.18
1;11/05/2021;15:47:17;N/A;N/A;30.52;41.26;100.67;54.61;35.35
1;11/05/2021;15:47:18;N/A;N/A;30.51;41.18;100.67;54.98;28.71
1;11/05/2021;15:47:19;N/A;N/A;30.51;41.44;100.67;55.15;34.77
1;11/05/2021;15:47:20;N/A;N/A;30.51;41.25;100.66;55.15;28.52
1;11/05/2021;15:47:21;N/A;N/A;30.50;41.51;100.67;54.81;36.52
1;11/05/2021;15:47:22;N/A;N/A;30.51;41.44;100.66;54.91;29.49
1;11/05/2021;15:47:23;N/A;N/A;30.52;41.45;100.66;54.85;17.77
1;11/05/2021;15:47:24;N/A;N/A;30.51;41.40;100.67;55.93;25.78
1;11/05/2021;15:47:25;N/A;N/A;30.51;41.37;100.66;55.39;30.47
1;11/05/2021;15:47:26;N/A;N/A;30.52;41.34;100.67;55.80;30.86
1;11/05/2021;15:47:27;N/A;N/A;30.51;41.33;100.66;55.45;31.84
1;11/05/2021;15:47:28;N/A;N/A;30.52;41.30;100.66;55.26;34.96
1;11/05/2021;15:47:29;N/A;N/A;30.51;41.32;100.66;54.67;23.24
1;11/05/2021;15:47:30;N/A;N/A;30.52;41.23;100.66;54.54;26.95
1;11/05/2021;15:47:31;N/A;N/A;30.52;41.35;100.66;54.85;23.83
1;11/05/2021;15:47:32;N/A;N/A;30.51;41.40;100.66;54.91;15.23
1;11/05/2021;15:47:33;N/A;N/A;30.52;41.34;100.66;55.26;26.95
1;11/05/2021;15:47:34;N/A;N/A;30.52;41.27;100.66;55.26;30.86
1;11/05/2021;15:47:35;N/A;N/A;30.53;41.31;100.66;54.88;26.76
1;11/05/2021;15:47:36;N/A;N/A;30.52;41.23;100.65;55.26;31.25
1;11/05/2021;15:47:37;N/A;N/A;30.53;41.23;100.66;55.19;27.34
1;11/05/2021;15:47:38;N/A;N/A;30.52;41.24;100.66;55.73;33.59
1;11/05/2021;15:47:39;N/A;N/A;30.52;41.24;100.66;55.26;30.66
1;11/05/2021;15:47:40;N/A;N/A;30.52;41.27;100.67;54.78;22.85
1;11/05/2021;15:47:41;N/A;N/A;30.52;41.32;100.66;55.73;24.80
