TAG;DATE;TIME;LAT;LONG;TEMP C;HUM %;PRES kPa;ALT M;PM 2.5
1;23/06/2021;14:57:28;N/A;N/A;26.63;47.54;100.68;53.21;0.00
1;23/06/2021;14:57:29;N/A;N/A;26.62;47.44;100.68;53.75;0.00
1;23/06/2021;14:57:30;N/A;N/A;26.63;47.23;100.67;53.92;12.11
1;23/06/2021;14:57:31;N/A;N/A;26.62;47.17;100.68;53.99;0.59
1;23/06/2021;14:57:32;N/A;N/A;26.62;47.13;100.68;54.05;0.98
1;23/06/2021;14:57:33;N/A;N/A;26.61;48.18;100.69;53.41;0.00
1;23/06/2021;14:57:34;N/A;N/A;26.61;48.37;100.68;53.17;1.95
1;23/06/2021;14:57:35;N/A;N/A;26.61;48.01;100.68;53.17;2.54
1;23/06/2021;14:57:36;N/A;N/A;26.60;47.74;100.69;54.08;11.91
1;23/06/2021;14:57:37;N/A;N/A;26.60;47.77;100.69;53.61;3.71
1;23/06/2021;14:57:38;N/A;N/A;26.59;47.41;100.69;54.22;0.00
1;23/06/2021;14:57:39;N/A;N/A;26.59;47.46;100.69;53.68;2.54
1;23/06/2021;14:57:40;N/A;N/A;26.58;47.25;100.69;53.57;2.34
1;23/06/2021;14:57:41;N/A;N/A;26.57;47.09;100.68;53.71;6.25
1;23/06/2021;14:57:42;N/A;N/A;26.57;46.92;100.68;54.18;0.00
1;23/06/2021;14:57:43;N/A;N/A;26.57;47.08;100.68;54.18;2.15
1;23/06/2021;14:57:44;N/A;N/A;26.57;47.42;100.68;53.54;2.34
1;23/06/2021;14:57:45;N/A;N/A;26.55;47.37;100.68;53.97;0.00
1;23/06/2021;14:57:46;N/A;N/A;26.56;47.57;100.68;53.91;8.98
1;23/06/2021;14:57:47;N/A;N/A;26.57;47.15;100.68;53.23;1.76
1;23/06/2021;14:57:48;N/A;N/A;26.57;47.21;100.68;53.23;2.15
1;23/06/2021;14:57:49;N/A;N/A;26.57;46.90;100.68;54.25;8.20
1;23/06/2021;14:57:50;N/A;N/A;26.56;46.78;100.69;53.60;3.52
1;23/06/2021;14:57:51;N/A;N/A;26.57;46.70;100.68;53.77;10.16
1;23/06/2021;14:57:52;N/A;N/A;26.57;46.61;100.68;53.71;3.71
1;23/06/2021;14:57:53;N/A;N/A;26.58;46.51;100.68;53.64;13.48
1;23/06/2021;14:57:54;N/A;N/A;26.58;46.37;100.68;53.57;7.23
1;23/06/2021;14:57:55;N/A;N/A;26.57;46.40;100.68;54.18;0.00
1;23/06/2021;14:57:56;N/A;N/A;26.57;46.29;100.68;53.23;15.82
1;23/06/2021;14:57:57;N/A;N/A;26.57;46.27;100.69;53.30;2.93
1;23/06/2021;14:57:58;N/A;N/A;26.57;46.45;100.68;53.77;0.00
1;23/06/2021;14:57:59;N/A;N/A;26.56;46.50;100.68;53.84;8.79
1;23/06/2021;14:58:00;N/A;N/A;26.57;46.54;100.68;53.71;13.09
1;23/06/2021;14:58:01;N/A;N/A;26.57;46.66;100.68;53.71;9.77
1;23/06/2021;14:58:02;N/A;N/A;26.57;46.72;100.69;53.23;13.67
1;23/06/2021;14:58:03;N/A;N/A;26.57;46.64;100.68;53.47;5.08
1;23/06/2021;14:58:04;N/A;N/A;26.57;46.38;100.68;53.71;6.64
1;23/06/2021;14:58:05;N/A;N/A;26.55;46.50;100.68;53.50;2.54
1;23/06/2021;14:58:06;N/A;N/A;26.56;46.48;100.68;53.84;8.98
1;23/06/2021;14:58:07;N/A;N/A;26.56;46.41;100.68;53.84;6.64
1;23/06/2021;14:58:08;N/A;N/A;26.57;46.35;100.68;53.71;12.89
1;23/06/2021;14:58:09;N/A;N/A;26.56;46.17;100.68;53.43;1.37
1;23/06/2021;14:58:10;N/A;N/A;26.56;46.02;100.68;53.36;2.15
1;23/06/2021;14:58:11;N/A;N/A;26.57;46.06;100.69;54.25;0.98
1;23/06/2021;14:58:12;N/A;N/A;26.56;45.70;100.68;54.08;0.00
1;23/06/2021;14:58:13;N/A;N/A;26.57;45.47;100.69;53.71;10.74
1;23/06/2021;14:58:14;N/A;N/A;26.56;45.45;100.68;53.84;9.18
1;23/06/2021;14:58:15;32.648406;-115.415596;26.55;45.36;100.68;53.50;6.84
1;23/06/2021;14:58:16;32.648399;-115.415618;26.57;45.35;100.68;53.47;11.91
1;23/06/2021;14:58:17;32.648406;-115.415618;26.55;45.32;100.68;53.50;9.77
1;23/06/2021;14:58:18;32.648403;-115.415634;26.57;45.38;100.68;53.77;10.55
1;23/06/2021;14:58:19;32.648406;-115.415634;26.55;45.38;100.68;53.74;2.34
1;23/06/2021;14:58:20;32.648380;-115.415695;26.55;45.37;100.68;54.45;4.30
1;23/06/2021;14:58:21;32.648384;-115.415687;26.56;45.33;100.69;53.91;13.87
1;23/06/2021;14:58:22;32.648380;-115.415702;26.57;45.45;100.68;53.54;9.57
1;23/06/2021;14:58:23;32.648376;-115.415710;26.57;45.36;100.68;53.47;4.69
1;23/06/2021;14:58:24;32.648376;-115.415710;26.56;45.38;100.68;53.84;1.56
1;23/06/2021;14:58:25;32.648376;-115.415710;26.57;45.28;100.68;53.77;1.76
1;23/06/2021;14:58:26;32.648372;-115.415718;26.57;45.28;100.68;53.77;16.21
1;23/06/2021;14:58:27;32.648365;-115.415763;26.55;45.45;100.68;53.97;14.26
1;23/06/2021;14:58:28;32.648361;-115.415771;26.56;45.24;100.68;53.91;9.96
1;23/06/2021;14:58:29;32.648357;-115.415779;26.56;45.08;100.68;53.67;9.77
1;23/06/2021;14:58:30;32.648353;-115.415786;26.56;45.28;100.68;54.79;4.10
1;23/06/2021;14:58:31;32.648349;-115.415786;26.57;45.30;100.68;53.77;4.88
1;23/06/2021;14:58:32;32.648349;-115.415786;26.57;45.28;100.68;53.77;11.33
1;23/06/2021;14:58:33;32.648349;-115.415786;26.57;45.28;100.68;53.23;6.25
