name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,,
1,25/04/2020,01:56:52,32.6257472,32.6349298,-115.5073064,52,103,53,23,,
3,23/03/2020,01:56:52,32.6246397,32.627933,-115.5017477,41,104,51,17,,
3,16/01/2020,01:56:52,32.6306281,32.6300183,-115.5100989,49,103,52,12,,
3,21/09/2020,01:56:52,32.6217104,32.6304994,-115.5017757,56,105,54,20,,
1,01/12/2020,01:56:52,32.6350430,32.6315865,-115.5010494,47,104,51,16,,
2,21/06/2020,01:56:52,32.6190809,32.6323364,-115.5000592,45,103,50,10,,
2,03/12/2020,01:56:52,32.6378359,32.6342718,-115.5083743,40,104,55,29,,
1,01/05/2020,01:56:52,32.6250301,32.6379683,-115.5045857,45,105,55,32,,
1,10/07/2020,01:56:52,32.6356745,32.6220604,-115.5032537,60,100,51,9,,
1,03/04/2020,01:56:53,32.6351760,32.6286636,-115.5049575,46,103,51,32,,
1,19/05/2020,01:56:54,32.6244124,32.6220293,-115.5048052,49,104,51,24,,
1,14/12/2020,01:56:55,32.6267138,32.6270553,-115.5033384,54,101,52,8,,
3,01/06/2020,01:56:56,32.6289514,32.6264353,-115.5014189,60,104,52,9,,
2,15/08/2020,01:56:57,32.6184304,32.6219716,-115.5036418,48,102,50,14,,
3,03/04/2020,01:56:58,32.6210686,32.635612,-115.5084657,40,102,50,34,,
1,11/10/2020,01:56:59,32.6203394,32.6371053,-115.5087439,64,105,56,32,,
1,21/10/2020,01:57:00,32.6210072,32.621424,-115.5022826,41,104,53,24,,
2,10/10/2020,01:57:01,32.6275109,32.6235768,-115.5031069,50,103,51,32,,
2,14/09/2020,01:57:02,32.6238903,32.6217284,-115.5044263,45,100,50,13,,
2,18/09/2020,01:57:03,32.6341208,32.6328034,-115.5059563,43,105,52,15,,
3,01/03/2020,01:57:04,32.6181415,32.6287863,-115.4994162,46,100,51,9,,
2,02/05/2020,01:57:05,32.6221709,32.6279554,-115.5039066,49,103,52,26,,
1,14/02/2020,01:57:06,32.6308611,32.6352561,-115.5023048,42,100,51,30,,
2,03/04/2020,01:57:07,32.6383176,32.6180537,-115.5040979,43,102,55,17,,
1,28/10/2020,01:57:08,32.6272399,32.6298948,-115.5083942,59,103,55,20,,
2,05/01/2020,01:57:09,32.6242862,32.6206791,-115.5024934,64,105,52,29,,
2,29/10/2020,02:57:09,32.6243447,32.6272105,-115.5076461,43,102,54,23,,
1,21/04/2020,03:57:09,32.6221816,32.6318172,-115.5041953,60,100,53,30,,
1,19/09/2020,04:57:09,32.6268455,32.6285614,-115.5017889,55,103,55,8,,
1,26/03/2020,05:57:09,32.6256730,32.6340123,-115.5005694,44,105,54,34,,
2,20/11/2020,06:57:09,32.6195598,32.6248381,-115.5021217,60,100,50,20,,
2,01/11/2020,07:57:09,32.6171281,32.6187493,-115.5000386,48,105,52,31,,
1,09/07/2020,08:57:09,32.6297703,32.6217663,-115.5086039,62,102,51,24,,
1,30/01/2020,09:57:09,32.6359790,32.6324072,-115.5068807,62,105,51,32,,
3,18/02/2020,10:57:09,32.6205859,32.6374387,-115.5035376,56,105,54,34,,
3,15/05/2020,11:57:09,32.6356709,32.6322156,-115.5101745,44,101,52,17,,
1,29/01/2020,12:57:09,32.6233271,32.6359007,-115.5091114,41,101,52,21,,
2,01/06/2020,13:57:09,32.6228596,32.6273708,-115.5038141,41,101,56,24,,
3,12/06/2020,14:57:09,32.6346023,32.6198227,-115.5094446,63,100,50,8,,
3,11/01/2020,15:57:09,32.6357287,32.6338665,-115.5002205,43,102,50,14,,
2,15/08/2020,16:57:09,32.6276033,32.6171709,-115.5077361,59,103,50,31,,
1,08/04/2020,17:57:09,32.6281049,32.6330941,-115.5069829,50,102,52,27,,
2,03/10/2020,18:57:09,32.6321625,32.6198341,-115.5032285,45,105,50,29,,
2,30/06/2020,19:57:09,32.6182875,32.6272751,-115.50638,52,104,50,33,,
3,27/01/2020,20:57:09,32.6329606,32.6208292,-115.5056143,46,101,50,13,,
2,01/07/2020,21:57:09,32.6295643,32.6191083,-115.5052601,43,100,52,15,,
1,03/05/2020,22:57:09,32.6297420,32.6262569,-115.5001187,49,100,54,30,,
1,09/03/2020,23:57:09,32.6302081,32.6176346,-115.49955,61,100,50,27,,
2,06/06/2020,00:57:09,32.6299712,32.6258441,-115.5044272,55,101,56,13,,
3,19/11/2020,01:57:09,32.6312355,32.6321122,-115.5055729,49,102,56,8,,
3,09/12/2020,02:57:09,32.6207578,32.6266328,-115.5065286,51,102,52,20,,
2,06/12/2020,03:57:09,32.6193087,32.6371831,-115.5083871,48,105,51,23,,
