name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,
2,18/08/2020,01:56:52,32.6177131,-115.5034969,45,8,102,32,72,
3,28/03/2020,01:56:52,32.6260114,-115.5000227,26,21,105,34,89,
1,14/01/2020,01:56:52,32.6195749,-115.5059521,9,45,104,121,120,
1,09/10/2020,01:56:52,32.6279473,-115.5019949,12,24,105,111,220,
2,22/12/2020,01:56:52,32.6218907,-115.5010379,12,28,103,90,131,
1,01/12/2020,01:56:52,32.6260205,-115.5065511,19,25,103,63,174,
2,23/03/2020,01:56:52,32.6383111,-115.5009739,28,20,103,45,63,
1,23/10/2020,01:56:52,32.6330318,-115.5000175,18,26,101,101,204,
1,25/09/2020,01:56:52,32.6256286,-115.504424,52,9,103,48,54,
3,24/05/2020,01:56:53,32.6213472,-115.503139,25,21,104,56,106,
1,19/01/2020,01:56:54,32.6257219,-115.4993517,7,51,100,97,156,
3,02/03/2020,01:56:55,32.6201766,-115.5077677,32,22,100,20,141,
3,27/03/2020,01:56:56,32.6281336,-115.5078955,30,22,101,45,83,
2,13/09/2020,01:56:57,32.6180854,-115.505648,44,8,103,40,62,
2,14/10/2020,01:56:58,32.6357257,-115.5068821,17,21,101,62,172,
3,08/11/2020,01:56:59,32.6244076,-115.507071,18,26,101,75,102,
1,21/07/2020,01:57:00,32.6304108,-115.4992374,35,9,104,41,43,
3,27/12/2020,01:57:01,32.6300000,-115.5053053,15,25,104,89,112,
1,17/06/2020,01:57:02,32.6355272,-115.4988985,40,9,100,33,42,
1,02/03/2020,01:57:03,32.6373953,-115.5079769,26,29,103,97,134,
3,27/01/2020,01:57:04,32.6278251,-115.5066868,10,61,104,95,271,
1,19/05/2020,01:57:05,32.6282720,-115.5088163,26,24,104,12,102,
1,09/08/2020,01:57:06,32.6175247,-115.5014616,35,6,105,43,41,
1,21/02/2020,01:57:07,32.6352383,-115.5059064,9,70,100,39,200,
2,11/12/2020,01:57:08,32.6209610,-115.5037775,14,23,104,80,171,
3,14/04/2020,01:57:09,32.6187699,-115.5015729,30,20,103,39,99,
3,21/05/2020,02:57:09,32.6345510,-115.5022923,28,26,101,97,110,
1,20/06/2020,03:57:09,32.6219531,-115.4989419,49,8,100,50,62,
1,30/11/2020,04:57:09,32.6283861,-115.5049823,12,20,100,71,97,
1,06/06/2020,05:57:09,32.6211864,-115.5007915,53,9,103,54,71,
3,29/04/2020,06:57:09,32.6333582,-115.5049256,29,23,105,100,101,
2,13/07/2020,07:57:09,32.6346947,-115.5008307,48,6,102,31,43,
3,18/06/2020,08:57:09,32.6341591,-115.5083479,47,5,104,24,40,
2,03/02/2020,09:57:09,32.6378785,-115.5037825,3,40,105,81,219,
3,31/05/2020,10:57:09,32.6341047,-115.5099778,31,20,105,43,109,
