name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,
1,12/09/2022,01:56:52,32.6341154,-115.5041662,51,7,102,45,68,
1,11/01/2022,01:56:52,32.6334634,-115.5083215,8,46,101,85,256,
1,09/08/2022,01:56:52,32.6253821,-115.4995091,46,5,103,51,35,
3,24/03/2022,01:56:52,32.6206713,-115.4992039,30,20,100,73,60,
1,10/06/2022,01:56:52,32.6329286,-115.5049064,37,6,104,45,35,
1,23/01/2022,01:56:52,32.6350135,-115.4991976,4,56,101,104,267,
1,14/03/2022,01:56:52,32.6257166,-115.5011065,25,27,103,36,110,
3,01/12/2022,01:56:52,32.6269387,-115.5000869,19,27,100,67,205,
3,16/02/2022,01:56:52,32.6354082,-115.5012381,1,68,105,103,270,
1,17/06/2022,01:56:53,32.6344313,-115.5010668,47,5,101,55,50,
2,13/05/2022,01:56:54,32.6287503,-115.5095903,27,20,100,68,156,
2,13/07/2022,01:56:55,32.6355837,-115.5073149,37,5,100,42,46,
1,12/12/2022,01:56:56,32.6223532,-115.5038726,13,20,103,82,142,
1,30/03/2022,01:56:57,32.6292965,-115.5093411,29,25,104,13,95,
2,16/07/2022,01:56:58,32.6205695,-115.5099246,45,10,105,44,69,
3,27/02/2022,01:56:59,32.6268819,-115.5088459,4,43,104,175,201,
3,09/08/2022,01:57:00,32.6278076,-115.507173,41,8,100,24,40,
2,06/03/2022,01:57:01,32.6272686,-115.4995926,30,22,101,45,94,
1,04/02/2022,01:57:02,32.6378278,-115.5092382,4,51,103,68,239,
1,20/01/2022,01:57:03,32.6362144,-115.509017,11,72,100,166,127,
2,14/06/2022,01:57:04,32.6308566,-115.5032497,41,7,102,25,68,
1,06/02/2022,01:57:05,32.6192632,-115.5103384,12,56,102,90,212,
2,13/11/2022,01:57:06,32.6299721,-115.4990383,11,26,100,46,170,
2,12/07/2022,01:57:07,32.6275817,-115.5069966,42,6,104,39,71,
2,16/08/2022,01:57:08,32.6265694,-115.5062818,43,6,105,46,36,
3,09/09/2022,01:57:09,32.6322919,-115.5023068,45,7,101,46,66,
1,27/04/2022,02:57:09,32.6310195,-115.4988766,28,25,105,33,126,
2,19/04/2022,03:57:09,32.6189172,-115.5023558,31,28,105,64,97,
1,27/07/2022,04:57:09,32.6192531,-115.5075237,36,10,103,37,37,
1,11/03/2022,05:57:09,32.6332781,-115.5023162,27,26,105,94,74,
3,29/03/2022,06:57:09,32.6367819,-115.5021684,27,28,101,92,143,
