name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10
0,02/08/2022,01:56:52,0,74.45,12.12,23.36,12.36,14.25,85.14
0,03/08/2022,01:56:52,23.36,45.25,78.36,36.96,12.37,14.25,85.12
0,04/08/2022,01:56:52,45.01,45.01,45.01,45.01,12.38,14.25,45.01
0,05/08/2022,01:56:52,45.01,45.01,45.01,45.01,12.39,14.25,45.01
0,06/08/2022,01:56:52,45.01,45.01,45.01,45.01,12.4,14.25,45.01
0,07/08/2022,01:56:52,45.01,45.01,45.01,45.01,12.41,14.25,45.01
0,08/08/2022,01:56:52,45.01,45.01,45.01,45.01,12.42,14.25,45.01
0,09/08/2022,01:56:52,0,0,27.7,48.95,100.81,43.18,0
6,17/05/2021,01:56:52,0,0,27.7,48.95,100.81,43.18,0
7,17/05/2021,01:56:53,0,0,27.69,48.73,100.81,42.84,23.83
8,17/05/2021,01:56:54,0,0,27.69,48.46,100.8,43.79,18.36
9,17/05/2021,01:56:55,0,0,27.69,47.95,100.81,43.08,15.23
10,17/05/2021,01:56:56,0,0,27.68,47.34,100.81,42.67,24.02
11,17/05/2021,01:56:57,0,0,27.68,46.82,100.81,42.98,21.87
12,17/05/2021,01:56:58,0,0,27.69,46.39,100.81,43.25,20.7
13,17/05/2021,01:56:59,0,0,27.68,45.95,100.81,42.91,18.75
14,17/05/2021,01:57:00,0,0,27.68,45.52,100.81,43.15,35.55
15,17/05/2021,01:57:01,0,0,27.67,45.28,100.81,43.05,21.48
16,17/05/2021,01:57:02,0,0,27.67,45.47,100.8,43.35,28.12
17,17/05/2021,01:57:03,0,0,27.67,45.48,100.81,43.05,29.3
18,17/05/2021,01:57:04,0,0,27.67,45.23,100.81,42.64,32.62
19,17/05/2021,01:57:05,0,0,27.67,45.02,100.81,42.57,79.1
20,17/05/2021,01:57:06,0,0,27.67,44.83,100.81,42.57,16.99
21,17/05/2021,01:57:07,0,0,27.68,44.7,100.81,42.91,16.8
22,17/05/2021,01:57:08,0,0,27.66,44.51,100.81,42.94,27.15
23,17/05/2021,01:57:09,0,0,27.67,44.33,100.81,42.64,37.11
24,17/05/2021,01:57:10,0,0,27.66,44.18,100.81,43.42,19.73
25,17/05/2021,01:57:11,0,0,27.66,43.98,100.81,43.18,25.39
26,17/05/2021,01:57:12,0,0,27.66,43.89,100.81,43.18,26.17
27,17/05/2021,01:57:13,0,0,27.66,43.73,100.81,43.18,22.66
