name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,,
3,24/08/2021,01:56:52,32.6174962,-115.5044214,49,45,101,55,21,,
2,09/12/2021,01:56:52,32.6310331,-115.510163,53,47,105,52,18,,
3,30/01/2021,01:56:52,32.6346456,-115.5059798,55,45,102,56,12,,
1,11/04/2021,01:56:52,32.6347734,-115.5018557,49,60,102,50,28,,
1,19/07/2021,01:56:52,32.6366204,-115.5050521,52,61,102,56,29,,
2,09/04/2021,01:56:52,32.6370815,-115.5072945,54,42,100,51,18,,
1,15/04/2021,01:56:52,32.6239102,-115.5022754,55,51,102,54,16,,
2,21/03/2021,01:56:52,32.6381763,-115.5081238,44,62,105,54,30,,
2,12/07/2021,01:56:52,32.6367497,-115.5048493,40,42,100,50,21,,
3,29/12/2021,01:56:53,32.6240514,-115.5091795,54,41,105,51,30,,
3,13/05/2021,01:56:54,32.6303053,-115.5084399,40,41,102,53,25,,
1,27/05/2021,01:56:55,32.6332638,-115.5100985,41,55,105,52,30,,
3,16/06/2021,01:56:56,32.6282511,-115.5093132,42,49,103,55,27,,
3,16/05/2021,01:56:57,32.6257555,-115.4990191,53,50,103,52,18,,
2,14/04/2021,01:56:58,32.6232844,-115.5059976,53,57,103,53,14,,
2,25/04/2021,01:56:59,32.6305624,-115.5003937,51,41,100,53,28,,
2,06/11/2021,01:57:00,32.6212682,-115.5082983,55,53,101,55,25,,
2,20/03/2021,01:57:01,32.6332993,-115.5049236,45,49,105,53,26,,
1,09/11/2021,01:57:02,32.6327146,-115.5024075,38,51,100,50,32,,
3,01/03/2021,01:57:03,32.6264199,-115.5070842,48,44,103,54,16,,
1,01/06/2021,01:57:04,32.6188188,-115.5022159,48,49,102,52,35,,
1,12/11/2021,01:57:05,32.6354359,-115.5039269,39,50,101,56,25,,
1,04/09/2021,01:57:06,32.6209629,-115.4996831,53,47,103,53,19,,
2,10/03/2021,01:57:07,32.6243242,-115.4996246,49,52,104,55,28,,
2,04/02/2021,01:57:08,32.6270729,-115.5079036,45,40,102,52,10,,
2,28/02/2021,01:57:09,32.6229659,-115.5035502,39,41,101,56,29,,
3,13/10/2021,02:57:09,32.6352141,-115.4990337,52,48,104,50,34,,
3,25/11/2021,03:57:09,32.6303651,-115.5092857,55,50,105,52,22,,
2,02/03/2021,04:57:09,32.6233589,-115.5041641,52,52,104,50,30,,
1,20/07/2021,05:57:09,32.6170704,-115.5068982,52,41,104,54,28,,
1,26/02/2021,06:57:09,32.6298137,-115.5033562,43,63,102,50,34,,
1,30/09/2021,07:57:09,32.6242950,-115.5074433,37,53,101,50,18,,
3,02/06/2021,08:57:09,32.6242442,-115.5073267,44,62,100,51,33,,
3,04/07/2021,09:57:09,32.6255705,-115.5064059,50,47,101,50,33,,
3,30/01/2021,10:57:09,32.6289560,-115.5078063,55,49,104,53,34,,
1,21/07/2021,11:57:09,32.6317090,-115.5037834,52,61,100,53,8,,
1,05/01/2021,12:57:09,32.6178996,-115.5089755,46,50,101,51,11,,
3,22/02/2021,13:57:09,32.6300959,-115.5073216,46,43,103,56,32,,
3,12/02/2021,14:57:09,32.6376333,-115.5063767,50,47,105,54,28,,
1,16/01/2021,15:57:09,32.6342636,-115.5034048,39,49,104,55,25,,
1,17/09/2021,16:57:09,32.6196316,-115.5017701,41,45,105,55,16,,
