name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10,,
2,20/12/2021,01:56:52,32.6250969,32.6225287,-115.5035802,46,101,53,32,,
3,06/12/2021,01:56:52,32.6331024,32.6208752,-115.5100481,45,104,55,8,,
3,24/03/2021,01:56:52,32.6250592,32.6258691,-115.5044772,57,102,50,20,,
1,27/02/2021,01:56:52,32.6384280,32.6383333,-115.499303,64,105,53,34,,
3,11/03/2021,01:56:52,32.6195503,32.6325529,-115.509242,59,101,50,11,,
1,27/01/2021,01:56:52,32.6171276,32.6293164,-115.5071894,43,102,51,29,,
3,04/06/2021,01:56:52,32.6172741,32.6366525,-115.5094836,44,100,56,28,,
3,22/12/2021,01:56:52,32.6183612,32.6319382,-115.4995099,57,101,55,17,,
1,17/07/2021,01:56:52,32.6377891,32.6280406,-115.5005444,47,105,51,10,,
3,02/06/2021,01:56:53,32.6279146,32.625056,-115.5048592,41,105,51,22,,
1,22/12/2021,01:56:54,32.6190677,32.6288332,-115.5034193,59,103,50,16,,
1,13/02/2021,01:56:55,32.6173756,32.6296813,-115.5021463,63,102,56,35,,
3,22/11/2021,01:56:56,32.6318066,32.632732,-115.5052018,56,104,52,8,,
2,12/05/2021,01:56:57,32.6252774,32.6258436,-115.5063747,46,100,53,18,,
2,08/08/2021,01:56:58,32.6281034,32.6226125,-115.5081575,44,105,55,27,,
1,07/07/2021,01:56:59,32.6345075,32.6178056,-115.5064821,42,103,52,30,,
1,19/09/2021,01:57:00,32.6336636,32.6219859,-115.5011109,47,100,55,29,,
1,22/04/2021,01:57:01,32.6263758,32.6364502,-115.5028618,58,105,55,12,,
3,30/12/2021,01:57:02,32.6242328,32.6198849,-115.5097974,62,102,53,13,,
1,01/11/2021,01:57:03,32.6341738,32.6326095,-115.4999765,46,104,55,25,,
1,14/05/2021,01:57:04,32.6311614,32.6376749,-115.4989658,43,102,50,25,,
3,07/02/2021,01:57:05,32.6340213,32.6383985,-115.5070335,52,102,55,22,,
1,26/04/2021,01:57:06,32.6185569,32.633923,-115.5023883,54,100,50,10,,
3,20/07/2021,01:57:07,32.6328058,32.6349384,-115.5039308,53,105,51,20,,
1,11/08/2021,01:57:08,32.6197411,32.6273564,-115.4999638,41,102,54,11,,
2,16/10/2021,01:57:09,32.6181319,32.6368965,-115.5078192,62,105,54,27,,
2,17/08/2021,02:57:09,32.6187192,32.6367252,-115.5026063,52,100,55,29,,
3,07/02/2021,03:57:09,32.6326366,32.6338227,-115.5024304,62,103,51,23,,
2,23/06/2021,04:57:09,32.6199864,32.6253804,-115.5092037,44,102,52,8,,
1,11/08/2021,05:57:09,32.6267054,32.6320481,-115.5011024,50,102,56,30,,
2,29/12/2021,06:57:09,32.6295882,32.6295849,-115.5008121,63,101,53,15,,
1,23/12/2021,07:57:09,32.6192953,32.6343804,-115.5088788,57,102,53,24,,
1,20/12/2021,08:57:09,32.6363751,32.630802,-115.508529,46,104,50,19,,
3,05/08/2021,09:57:09,32.6259122,32.624564,-115.5061234,45,102,50,34,,
2,10/02/2021,10:57:09,32.6207211,32.6327685,-115.4987458,53,101,54,21,,
3,23/01/2021,11:57:09,32.6366286,32.6283978,-115.5094646,47,103,54,17,,
2,30/10/2021,12:57:09,32.6201745,32.6369055,-115.5021659,40,103,52,11,,
3,25/08/2021,13:57:09,32.6323218,32.6255924,-115.5089917,43,101,50,29,,
3,08/09/2021,14:57:09,32.6318027,32.6214284,-115.5076678,58,104,51,35,,
2,08/05/2021,15:57:09,32.6186579,32.6227239,-115.4990011,46,102,52,13,,
3,31/08/2021,16:57:09,32.6331777,32.6260537,-115.4998969,49,105,52,29,,
1,26/11/2021,17:57:09,32.6306494,32.6283694,-115.5045643,47,102,51,16,,
3,06/02/2021,18:57:09,32.6250455,32.6310523,-115.5084301,54,100,52,27,,
3,19/12/2021,19:57:09,32.6240628,32.6257788,-115.5086565,40,104,54,25,,
3,14/05/2021,20:57:09,32.6321680,32.6318307,-115.5002365,58,101,53,28,,
3,19/10/2021,21:57:09,32.6266606,32.635159,-115.5099879,40,101,53,14,,
2,19/01/2021,22:57:09,32.6314940,32.6318575,-115.5034875,54,102,53,19,,
2,16/11/2021,23:57:09,32.6201934,32.621009,-115.5002118,54,103,51,23,,
3,05/05/2021,00:57:09,32.6313457,32.6311999,-115.5015408,41,105,54,31,,
2,08/06/2021,01:57:09,32.6240687,32.6257923,-115.5089604,63,101,54,9,,
3,26/01/2021,02:57:09,32.6208171,32.6289027,-115.507915,55,102,52,15,,
1,08/04/2021,03:57:09,32.6195693,32.6314278,-115.5094715,64,104,52,17,,
1,21/08/2021,04:57:09,32.6304897,32.6303524,-115.5025409,64,100,51,13,,
3,01/12/2021,05:57:09,32.6207543,32.6249056,-115.5030989,55,102,52,21,,
3,05/07/2021,06:57:09,32.6321306,32.6257991,-115.5069358,62,101,54,13,,
2,21/01/2021,07:57:09,32.6260252,32.6335245,-115.5093485,51,103,50,20,,
1,15/11/2021,08:57:09,32.6347937,32.6196518,-115.5028459,49,100,51,20,,
3,10/06/2021,09:57:09,32.6190352,32.6322809,-115.5022718,42,100,51,14,,
1,05/11/2021,10:57:09,32.6289376,32.6361065,-115.5011661,57,102,54,19,,
